,model,algo,rho,epochs,batch_size,channels,latent_dim,hidden_dims,ker_str_pad,error_trace,duration
0,cnn,adam,0.01,10,20,[0],2,"[10, 10, 10]","[(8, 1, 0), (5, 1, 0), (3, 2, 0)]","[0.30984359979629517, 0.29294854402542114, 0.2927223742008209, 0.26619961857795715, 0.25249671936035156, 0.24159468710422516, 0.27084076404571533, 0.2544010281562805, 0.25490695238113403, 0.24268068373203278, 0.23703809082508087, 0.25945353507995605, 0.24311530590057373, 0.2551431953907013, 0.22660726308822632, 0.24537454545497894, 0.23890681564807892, 0.2291465401649475, 0.24216638505458832, 0.22393286228179932, 0.2256792187690735, 0.2528756260871887, 0.2419392466545105, 0.2183373123407364, 0.22202469408512115, 0.23605728149414062, 0.24295924603939056, 0.23854660987854004, 0.2225441336631775, 0.20660261809825897, 0.21912629902362823, 0.2098998874425888, 0.23171456158161163, 0.2293371707201004, 0.21415314078330994, 0.21334415674209595, 0.2046189159154892, 0.20528572797775269, 0.22120347619056702, 0.22911576926708221, 0.22079068422317505, 0.21938379108905792, 0.21740126609802246, 0.21594591438770294, 0.22419258952140808, 0.21301741898059845, 0.22480635344982147, 0.20887060463428497, 0.2029513716697693, 0.22834886610507965, 0.2145574390888214, 0.22963039577007294, 0.25310516357421875, 0.22683902084827423, 0.2252868413925171, 0.20697404444217682, 0.22114300727844238, 0.22267763316631317, 0.221996009349823, 0.21155673265457153, 0.21567872166633606, 0.20509855449199677, 0.20405541360378265, 0.21614263951778412, 0.21401360630989075, 0.20236365497112274, 0.21014414727687836, 0.22847124934196472, 0.1981387734413147, 0.20866163074970245, 0.2124132663011551, 0.21932953596115112, 0.22212225198745728, 0.2115129977464676, 0.2132178544998169, 0.2156895399093628, 0.2299945056438446, 0.21856918931007385, 0.20512765645980835, 0.21149000525474548, 0.21015304327011108, 0.22307440638542175, 0.2109053134918213, 0.2269938886165619, 0.2382974624633789, 0.2054150402545929, 0.21215251088142395, 0.21806909143924713, 0.19915930926799774, 0.2095452845096588, 0.2145787477493286, 0.2113018035888672, 0.2141619771718979, 0.2138727605342865, 0.21263878047466278, 0.21826456487178802, 0.21045301854610443, 0.20439480245113373, 0.1990923136472702, 0.2029842734336853, 0.20472531020641327, 0.20297586917877197, 0.1994541883468628, 0.2063351571559906, 0.2214037925004959, 0.20851092040538788, 0.20770342648029327, 0.21497397124767303, 0.2103356570005417, 0.1947159469127655, 0.20514604449272156, 0.20126768946647644, 0.20290124416351318, 0.20551463961601257, 0.19902068376541138, 0.19245269894599915, 0.20192790031433105, 0.23492468893527985, 0.1973099559545517, 0.19515851140022278, 0.18583251535892487, 0.20674042403697968, 0.20983465015888214, 0.19179952144622803, 0.21611468493938446, 0.2104833424091339, 0.22103407979011536, 0.20173706114292145, 0.19723230600357056, 0.19631098210811615]",25.99802827835083
1,cnn,adam,0.01,10,20,[0],3,"[10, 10, 10]","[(8, 1, 0), (5, 1, 0), (3, 2, 0)]","[0.3271465599536896, 0.3014496862888336, 0.2867576479911804, 0.2646416425704956, 0.2539904713630676, 0.2653677761554718, 0.25629401206970215, 0.2524847388267517, 0.2444855272769928, 0.24032458662986755, 0.24940335750579834, 0.23944932222366333, 0.23939912021160126, 0.23725199699401855, 0.22314587235450745, 0.22245554625988007, 0.220751091837883, 0.24333859980106354, 0.25423362851142883, 0.25711923837661743, 0.22267986834049225, 0.2282898873090744, 0.21763975918293, 0.24344146251678467, 0.22738991677761078, 0.23088139295578003, 0.22059617936611176, 0.23794317245483398, 0.23075184226036072, 0.22360315918922424, 0.2206711620092392, 0.20376211404800415, 0.20953047275543213, 0.24083402752876282, 0.22460994124412537, 0.22828419506549835, 0.222260519862175, 0.21343354880809784, 0.21522986888885498, 0.2062167525291443, 0.20276321470737457, 0.2185177206993103, 0.2442924678325653, 0.2167486995458603, 0.2105594128370285, 0.21486200392246246, 0.20655035972595215, 0.21912670135498047, 0.20785127580165863, 0.19998443126678467, 0.20643828809261322, 0.21857869625091553, 0.19981655478477478, 0.20780302584171295, 0.20934414863586426, 0.20016612112522125, 0.20275738835334778, 0.2081858515739441, 0.2086493968963623, 0.2086016982793808, 0.1964874416589737, 0.19823288917541504, 0.20037318766117096, 0.2048027217388153, 0.199781596660614, 0.19026543200016022, 0.19793544709682465, 0.18490923941135406, 0.1990535706281662, 0.18854378163814545, 0.18719497323036194, 0.21029193699359894, 0.21636158227920532, 0.2096097767353058, 0.19406117498874664, 0.19102180004119873, 0.20338113605976105, 0.1879628300666809, 0.19613894820213318, 0.1911821812391281, 0.17849469184875488, 0.20016056299209595, 0.19232630729675293, 0.198211669921875, 0.2026083916425705, 0.19337871670722961, 0.20056676864624023, 0.19420696794986725, 0.20311075448989868, 0.1928861439228058, 0.20489220321178436, 0.20272301137447357, 0.1918182075023651, 0.19681613147258759, 0.20061248540878296, 0.19282381236553192, 0.19150879979133606, 0.18409423530101776, 0.205511212348938, 0.18749864399433136, 0.18943646550178528, 0.1803952008485794, 0.2043406069278717, 0.1940963715314865, 0.18708105385303497, 0.1904657930135727, 0.2015223652124405, 0.18461978435516357, 0.19074444472789764, 0.19196486473083496, 0.19538861513137817, 0.18374381959438324, 0.1895664632320404, 0.1872977465391159, 0.19676841795444489, 0.186650350689888, 0.21558013558387756, 0.17293532192707062, 0.19452954828739166, 0.1896202713251114, 0.203556090593338, 0.21075905859470367, 0.18705904483795166, 0.1977727711200714, 0.18992173671722412, 0.19825278222560883, 0.18939776718616486, 0.18271251022815704, 0.21949633955955505, 0.2004503458738327]",26.336384296417236
2,cnn,adam,0.01,10,20,[0],5,"[10, 10, 10]","[(8, 1, 0), (5, 1, 0), (3, 2, 0)]","[0.3001125752925873, 0.27701374888420105, 0.26745402812957764, 0.2612685263156891, 0.24140897393226624, 0.24733249843120575, 0.23251330852508545, 0.25666335225105286, 0.23045751452445984, 0.24459239840507507, 0.23592714965343475, 0.23767411708831787, 0.23013679683208466, 0.24423366785049438, 0.2474057525396347, 0.22376632690429688, 0.2231806516647339, 0.22607095539569855, 0.2148190438747406, 0.21377043426036835, 0.21935328841209412, 0.23384131491184235, 0.21442516148090363, 0.21873356401920319, 0.20583117008209229, 0.23638206720352173, 0.20911671221256256, 0.20700231194496155, 0.1991874873638153, 0.21388253569602966, 0.2175348848104477, 0.2129790484905243, 0.20533938705921173, 0.19709356129169464, 0.21668215095996857, 0.21113458275794983, 0.20184087753295898, 0.20842194557189941, 0.1963064968585968, 0.20460806787014008, 0.20660936832427979, 0.20037859678268433, 0.1968212127685547, 0.19144275784492493, 0.21910040080547333, 0.19729231297969818, 0.20116819441318512, 0.194947749376297, 0.19069284200668335, 0.19413739442825317, 0.1862972527742386, 0.19194906949996948, 0.1872323751449585, 0.20043455064296722, 0.18335199356079102, 0.20653879642486572, 0.19659613072872162, 0.1964135766029358, 0.19506855309009552, 0.20055079460144043, 0.1899234503507614, 0.187739759683609, 0.21838626265525818, 0.19684858620166779, 0.19020383059978485, 0.1816360503435135, 0.18941843509674072, 0.18241778016090393, 0.1999034881591797, 0.21067994832992554, 0.1813620775938034, 0.17683644592761993, 0.18603534996509552, 0.19767114520072937, 0.17606766521930695, 0.191578209400177, 0.19747145473957062, 0.19800972938537598, 0.17580856382846832, 0.18778443336486816, 0.18145078420639038, 0.2234956920146942, 0.1958865374326706, 0.20567558705806732, 0.18886592984199524, 0.17643988132476807, 0.190362349152565, 0.18187688291072845, 0.19677966833114624, 0.18971088528633118, 0.19862763583660126, 0.19214384257793427, 0.18311786651611328, 0.17583326995372772, 0.18821981549263, 0.18362335860729218, 0.20224697887897491, 0.18605704605579376, 0.19226717948913574, 0.18072228133678436, 0.197063148021698, 0.1981283575296402, 0.1865616738796234, 0.17435216903686523, 0.1802332103252411, 0.18547122180461884, 0.17815972864627838, 0.19370727241039276, 0.18603968620300293, 0.18545736372470856, 0.17565882205963135, 0.18319834768772125, 0.18721945583820343, 0.17464694380760193, 0.18914887309074402, 0.17932014167308807, 0.17044556140899658, 0.1717071384191513, 0.18907573819160461, 0.17907336354255676, 0.16924677789211273, 0.18208672106266022, 0.17917688190937042, 0.18139752745628357, 0.18452343344688416, 0.1766989529132843, 0.19904100894927979, 0.19642606377601624, 0.16717670857906342, 0.22597114741802216]",26.103485822677612
3,cnn,adam,0.01,10,20,[0],10,"[10, 10, 10]","[(8, 1, 0), (5, 1, 0), (3, 2, 0)]","[0.3293236792087555, 0.3115522265434265, 0.2886314392089844, 0.27253657579421997, 0.24713627994060516, 0.2618744671344757, 0.24570655822753906, 0.23780855536460876, 0.23456403613090515, 0.25163039565086365, 0.23510223627090454, 0.22218863666057587, 0.21909116208553314, 0.21505574882030487, 0.23049716651439667, 0.21708357334136963, 0.23015588521957397, 0.21426402032375336, 0.2150678187608719, 0.21097928285598755, 0.20456942915916443, 0.20080618560314178, 0.20074312388896942, 0.23733387887477875, 0.20993071794509888, 0.20609219372272491, 0.20002594590187073, 0.21524883806705475, 0.21085141599178314, 0.19323396682739258, 0.21189571917057037, 0.20969894528388977, 0.18313100934028625, 0.20453566312789917, 0.20348654687404633, 0.19760002195835114, 0.17947626113891602, 0.2058408409357071, 0.21923018991947174, 0.19190584123134613, 0.1936044543981552, 0.19424699246883392, 0.18311147391796112, 0.19393394887447357, 0.2071506828069687, 0.20338597893714905, 0.1840382069349289, 0.1900290846824646, 0.1938195675611496, 0.19600684940814972, 0.19638867676258087, 0.1909630447626114, 0.18517544865608215, 0.2107544243335724, 0.19054023921489716, 0.1861037015914917, 0.18302275240421295, 0.19161763787269592, 0.19197596609592438, 0.1934996098279953, 0.1919742375612259, 0.19548273086547852, 0.19430409371852875, 0.17979229986667633, 0.18691889941692352, 0.18085981905460358, 0.19124488532543182, 0.19367408752441406, 0.20147350430488586, 0.18314717710018158, 0.17961712181568146, 0.20085978507995605, 0.18737086653709412, 0.18649956583976746, 0.18262575566768646, 0.19012998044490814, 0.18168213963508606, 0.18380451202392578, 0.1929568350315094, 0.18073560297489166, 0.1883755475282669, 0.18737083673477173, 0.18175940215587616, 0.19006095826625824, 0.17737530171871185, 0.1891811490058899, 0.17172449827194214, 0.1775667667388916, 0.1837625950574875, 0.1842324286699295, 0.18376114964485168, 0.18277084827423096, 0.17313605546951294, 0.17816542088985443, 0.197409525513649, 0.1819949597120285, 0.18449483811855316, 0.17065858840942383, 0.1672406941652298, 0.1758207380771637, 0.1750093698501587, 0.1735687553882599, 0.1736249327659607, 0.19840051233768463, 0.17828765511512756, 0.17585110664367676, 0.1671309620141983, 0.17358744144439697, 0.16747862100601196, 0.1740332990884781, 0.17960308492183685, 0.1687895506620407, 0.17876921594142914, 0.1795785278081894, 0.17299404740333557, 0.17135782539844513, 0.18223388493061066, 0.18334844708442688, 0.17972271144390106, 0.18433955311775208, 0.17751352488994598, 0.1735275536775589, 0.17573943734169006, 0.17172425985336304, 0.17681866884231567, 0.17528632283210754, 0.16796772181987762, 0.16213485598564148, 0.16623198986053467, 0.19243057072162628]",25.890489101409912
