,algo,rho,epochs,batch_size,latent_dim,hidden_dims,ker_str_pad,error_trace,duration
0,adam,0.01,2,10,2,"[4, 8, 16]","[(10, 3, 1), (8, 2, 0), (3, 3, 0)]","[0.3656269609928131, 0.343485951423645, 0.307292640209198, 0.2779157757759094, 0.24914845824241638, 0.21024999022483826, 0.18833640217781067, 0.17292296886444092, 0.17768977582454681, 0.16763773560523987, 0.1555716097354889, 0.16048426926136017, 0.16242651641368866, 0.17431528866291046, 0.17201237380504608, 0.16063250601291656, 0.1871102899312973, 0.18171408772468567, 0.16257929801940918, 0.16767960786819458, 0.17717470228672028, 0.1732845902442932, 0.15727871656417847, 0.17290084064006805, 0.15799613296985626, 0.16483348608016968, 0.1717206835746765, 0.17241176962852478, 0.15543203055858612, 0.16818416118621826, 0.15751004219055176, 0.1437653750181198, 0.16061492264270782, 0.1699644774198532, 0.1575959324836731, 0.15301373600959778, 0.17135784029960632, 0.1528802514076233, 0.163209930062294, 0.1454254388809204, 0.16159658133983612, 0.1563849300146103, 0.16108834743499756, 0.16460929811000824, 0.15632890164852142, 0.14809603989124298, 0.15998589992523193, 0.16258201003074646, 0.16005003452301025, 0.1624625027179718, 0.1493329256772995, 0.15752804279327393, 0.145705908536911, 0.15205590426921844, 0.16144327819347382, 0.15331222116947174, 0.15249939262866974, 0.15205171704292297, 0.14072416722774506, 0.15137766301631927, 0.1334919035434723, 0.16192252933979034, 0.14175190031528473, 0.15210813283920288, 0.13912245631217957, 0.14871151745319366, 0.1448361873626709, 0.14406785368919373, 0.15267936885356903, 0.1497611701488495, 0.155026376247406, 0.14743874967098236, 0.14259637892246246, 0.1455678641796112, 0.14258438348770142, 0.138154998421669, 0.15228192508220673, 0.14157918095588684, 0.14048446714878082, 0.14311997592449188]",62.091963052749634
1,adam,0.001,2,10,2,"[4, 8, 16]","[(10, 3, 1), (8, 2, 0), (3, 3, 0)]","[0.35704949498176575, 0.3543151617050171, 0.3604057729244232, 0.3582140803337097, 0.3353427052497864, 0.34226709604263306, 0.33980974555015564, 0.3366810083389282, 0.3258543908596039, 0.31800031661987305, 0.31692343950271606, 0.3270868957042694, 0.3206082880496979, 0.3136695325374603, 0.3132842481136322, 0.3050599992275238, 0.3073394000530243, 0.31442034244537354, 0.29239392280578613, 0.2880358099937439, 0.2935086786746979, 0.2876399755477905, 0.28664615750312805, 0.27357035875320435, 0.2829129099845886, 0.2744344174861908, 0.27216941118240356, 0.26855432987213135, 0.2679818868637085, 0.26059389114379883, 0.2563389539718628, 0.25544023513793945, 0.24152304232120514, 0.2441207617521286, 0.23843391239643097, 0.23586174845695496, 0.23440003395080566, 0.22718149423599243, 0.23395231366157532, 0.22491785883903503, 0.22615662217140198, 0.2231273353099823, 0.21278904378414154, 0.21753543615341187, 0.2120703011751175, 0.20380592346191406, 0.20121894776821136, 0.19797882437705994, 0.19539567828178406, 0.19187016785144806, 0.20067541301250458, 0.19474658370018005, 0.18986453115940094, 0.1917201727628708, 0.19635799527168274, 0.18155276775360107, 0.18004870414733887, 0.18363943696022034, 0.17538022994995117, 0.17433051764965057, 0.17092585563659668, 0.18128418922424316, 0.1702967882156372, 0.16821929812431335, 0.16812613606452942, 0.1842113733291626, 0.16676190495491028, 0.17120309174060822, 0.16348275542259216, 0.16563598811626434, 0.16619189083576202, 0.16042768955230713, 0.16234944760799408, 0.1739927977323532, 0.1751551479101181, 0.1659345030784607, 0.16775868833065033, 0.1688844859600067, 0.16249077022075653, 0.16568750143051147]",61.307761430740356
