,latent_vector
164,"[-0.8652917, 0.2874418]"
165,"[-1.1641405, 0.01766406]"
166,"[-0.98507386, 0.4652866]"
167,"[-0.14245886, 1.3027056]"
168,"[1.0019569, 2.0607748]"
169,"[-1.123327, -0.14962602]"
170,"[0.78944767, -0.25059593]"
171,"[-0.4038126, -0.5007384]"
172,"[1.326923, 1.9158607]"
173,"[-1.8181752, -1.3908609]"
174,"[-1.3681366, -0.5745137]"
175,"[0.68646896, -0.1471085]"
176,"[0.5520152, -0.054764315]"
177,"[0.25195724, 1.5083429]"
178,"[-1.0459075, 0.4037609]"
179,"[-1.915691, -0.17564335]"
180,"[0.5436295, 2.0448775]"
181,"[-1.318959, -0.4213023]"
182,"[-0.9005855, -0.2282123]"
183,"[-1.543725, -0.8885946]"
184,"[1.4562674, -1.5536479]"
185,"[0.20148891, 0.23630926]"
186,"[-0.6605859, -0.11538321]"
187,"[-1.2603003, -0.2953839]"
188,"[0.19176161, -0.17520866]"
189,"[-0.037383556, 1.3891816]"
190,"[-1.4254527, 0.06428911]"
191,"[-1.2286737, 0.21088172]"
192,"[-1.2572377, -0.40233198]"
193,"[-1.0910137, 0.23109254]"
194,"[1.989604, 0.89972615]"
195,"[-0.9511862, 0.43736446]"
196,"[0.9394225, 1.6696994]"
197,"[-0.20234588, -1.1464226]"
198,"[0.8446933, 1.9043168]"
199,"[-1.9135514, -0.16741157]"
200,"[-0.2772346, -1.0404958]"
201,"[0.8852408, 0.2851301]"
202,"[1.208413, 1.607043]"
203,"[0.76626194, 2.0656805]"
204,"[0.8989494, -0.3229927]"
205,"[0.9927738, 2.0768366]"
206,"[-0.6555456, -0.58992016]"
207,"[1.5072544, 1.9016834]"
208,"[-1.8814455, -0.27387378]"
209,"[1.2799864, -1.9097526]"
210,"[-1.2755095, -0.45681223]"
211,"[-0.9092337, -0.065244555]"
212,"[1.2312952, -0.1342397]"
213,"[-0.9622457, -0.37479916]"
214,"[1.981045, 0.25901175]"
215,"[1.8023994, -2.0728843]"
216,"[-1.6754023, 0.007916547]"
217,"[-1.5432587, 0.041472152]"
218,"[1.4515874, -0.08754526]"
219,"[0.67215526, 2.0235596]"
220,"[-1.3385177, -0.9191036]"
221,"[-1.2024, -1.1305684]"
222,"[1.2252549, 0.7043865]"
223,"[0.04373747, 1.3754752]"
224,"[-1.1970432, -1.0679967]"
225,"[-1.2066786, -0.9365016]"
226,"[1.3304459, -1.9632199]"
227,"[-0.28913203, -1.0170596]"
228,"[-0.026085317, 2.048335]"
229,"[-0.18562666, -0.23738605]"
230,"[-0.9154607, -0.7997199]"
231,"[0.5549567, -0.065947026]"
232,"[-0.44572648, -0.3308324]"
233,"[0.8169236, -1.2100192]"
234,"[1.2464658, 0.67303777]"
235,"[1.0358508, 1.9357152]"
236,"[-1.431011, -0.84727156]"
237,"[-0.9469811, -0.2244097]"
238,"[-1.6821158, -0.07109326]"
239,"[0.885146, -1.5434834]"
240,"[0.72801304, 2.1761956]"
241,"[0.7089981, -0.18560708]"
242,"[1.4959257, 1.889653]"
243,"[-1.0369788, -0.043058902]"
244,"[0.50758505, -0.24527696]"
245,"[-0.85569704, -0.33940187]"
246,"[1.0994592, 2.0565002]"
247,"[0.1717155, 2.1517346]"
248,"[1.0682849, 2.0770597]"
249,"[1.9288375, 0.82683885]"
250,"[-1.3673296, -0.5610645]"
251,"[0.83513725, 2.062425]"
252,"[0.98718, 1.6796311]"
253,"[0.8278128, 2.0801024]"
254,"[-1.3451471, -0.3700755]"
255,"[-1.2845523, -0.13572504]"
256,"[2.1245332, 0.2996143]"
257,"[1.1725726, -0.008059002]"
258,"[-1.0746253, -0.14213511]"
259,"[-0.13197759, 1.26085]"
260,"[-1.4848316, -1.0818233]"
261,"[1.8359854, -1.8851751]"
262,"[1.5306385, 1.9132841]"
263,"[0.9978281, 2.1695652]"
264,"[-1.5037138, 0.14124967]"
265,"[1.5003314, 1.855752]"
266,"[-1.1833329, -1.0609963]"
267,"[-1.4346157, 0.035299838]"
268,"[0.66621685, -0.13258363]"
269,"[-0.9310794, -0.3609342]"
270,"[-0.6180923, -0.21892247]"
271,"[-0.13103443, 1.3766513]"
272,"[0.24820977, 0.14587343]"
273,"[0.11337048, 1.4430894]"
274,"[-1.8516781, -0.031012863]"
275,"[-0.3854345, -0.8094282]"
276,"[0.89323425, 2.113629]"
277,"[0.21884751, -0.22261003]"
278,"[-0.8019666, -0.5409429]"
279,"[1.0183591, 1.9223002]"
280,"[-0.09449756, 1.3581833]"
281,"[0.85991466, 1.9538975]"
282,"[1.5258899, 1.8216834]"
283,"[-1.4227939, -0.8338207]"
284,"[-1.0563979, 0.18199566]"
285,"[0.9351864, -0.89568996]"
286,"[-0.5946961, 0.07492349]"
287,"[-0.391993, -0.3970522]"
288,"[2.2685866, 0.74572396]"
289,"[-0.8695214, 0.4245262]"
290,"[0.66418695, 2.2253096]"
291,"[-1.2392038, -0.17166463]"
292,"[1.3032031, 0.61789024]"
293,"[-1.0507077, 0.06612021]"
294,"[-1.6329662, 0.020667471]"
295,"[-0.1459448, 1.2959814]"
296,"[1.5904329, 1.9401898]"
297,"[-0.8435963, -0.03388171]"
298,"[1.2799348, 0.037661433]"
299,"[-0.7107522, -0.4770786]"
300,"[-1.1435695, -0.18973088]"
301,"[-0.7874115, -0.30240354]"
302,"[1.5337477, -2.0680773]"
303,"[-1.2537289, -0.67488575]"
304,"[1.2616771, 1.2860591]"
305,"[-1.1556437, -0.11705428]"
306,"[0.80829954, 1.9078875]"
307,"[-0.7177744, -0.35652632]"
308,"[-1.0036095, -0.3507303]"
309,"[-0.78812265, 0.6701733]"
310,"[-1.2153685, 0.07320055]"
311,"[-0.4274523, -0.5537549]"
312,"[1.3783524, 1.3084773]"
313,"[-0.08314979, 1.2419591]"
314,"[-0.3926286, 0.45994875]"
315,"[-1.1993754, 0.10439953]"
316,"[0.8822329, 1.8211406]"
317,"[1.0139472, -1.663475]"
318,"[-0.7239369, 0.23710185]"
319,"[-1.7421427, -0.089529276]"
320,"[-1.3113105, -0.90298665]"
321,"[-1.3174872, -0.5368072]"
322,"[-1.4292672, -1.0047824]"
323,"[-0.07026589, 1.6275644]"
324,"[-0.15840402, 1.3827692]"
325,"[-1.0515078, -0.21128166]"
326,"[-0.89108145, 0.7132207]"
327,"[-1.2533303, -0.5749655]"
328,"[-1.0386264, -0.8435929]"
329,"[1.2293539, -0.67113304]"
330,"[0.504748, -0.61408496]"
331,"[1.0239222, 2.103965]"
332,"[-1.2702818, -0.16655385]"
333,"[1.0917108, -0.42634943]"
334,"[1.1449299, 0.08021274]"
335,"[-1.096875, 0.06915586]"
336,"[-1.4456563, 0.08202467]"
337,"[-0.2793316, -1.072842]"
338,"[-1.593934, -1.0711476]"
339,"[1.859525, 1.0312574]"
340,"[-0.03937012, 1.1863708]"
341,"[1.471411, 1.9193844]"
342,"[0.480188, 2.033248]"
343,"[0.10676378, 0.2781145]"
344,"[-0.3561367, -0.83732224]"
345,"[-1.2994416, -0.0071900412]"
346,"[-0.065323114, 1.3529226]"
347,"[1.0728451, 2.153043]"
348,"[-0.7183179, 0.7231561]"
349,"[-0.4039358, -0.7949966]"
350,"[-0.9864968, -0.8693086]"
351,"[0.91183364, 1.842437]"
352,"[0.38459086, 1.9752911]"
353,"[-1.2874038, -0.19108897]"
354,"[0.44587815, 0.015206605]"
355,"[0.655954, 2.0249796]"
356,"[0.8012451, 2.1240425]"
357,"[-1.205054, -0.11417355]"
358,"[-1.8001714, -0.039496735]"
359,"[-0.5824422, 0.0706601]"
